RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
806,Hamari Traoré,,Paris Fc,RB,79,82,57,72,75,74,78
813,Alexandr Golovin,,As Monaco,LM,79,73,76,79,82,61,66
835,Valentin Rongier,,Stade Rennais Fc,CDM,79,62,66,75,78,74,78
842,Amine Gouiri,,Om,ST,79,77,82,76,80,45,71
873,Lee Kang In,,Paris SG,RW,79,72,75,80,82,50,64
885,Facundo Medina,,Om,CB,79,74,44,70,72,79,81
928,Eric Dier,,As Monaco,CB,79,54,62,67,62,80,82
939,Illia Zabarnyi,,Paris SG,CB,79,80,37,64,64,80,78
941,Thilo Kehrer,,As Monaco,CB,79,69,44,66,66,80,77
954,Olivier Giroud,,Losc Lille,ST,79,48,80,71,73,41,79
996,Mahdi Camara,,Stade Rennais Fc,CM,78,74,68,74,77,77,76
1009,Matt O'Riley,,Om,CAM,78,68,78,79,76,67,73
1028,Geoffrey Kondogbia,,Om,CB,78,65,69,73,71,78,81
1044,Yehvann Diouf,,Ogc Nice,GK,78,78,75,76,80,50,76
1076,Pierre Lees-Melou,,Paris Fc,CDM,78,57,72,77,77,73,73
1077,Matvey Safonov,,Paris SG,GK,78,79,74,75,80,44,77
1080,Guillaume Restes,,Toulouse Fc,GK,78,78,74,80,80,40,77
1096,Hákon Arnar Haraldsson,,Losc Lille,CAM,78,77,67,75,81,57,69
1107,Melvin Bard,,Ogc Nice,LB,78,78,52,69,74,75,76
1116,Nicolás Tagliafico,,Ol,LB,78,67,56,70,76,77,76
1179,Takumi Minamino,,As Monaco,LM,78,77,74,75,81,40,64
1191,Dominik Greif,,Ol,GK,78,77,76,78,77,24,77
1220,Emanuel Emegha,,Strasbourg,ST,78,89,76,58,70,31,79
1241,Malick Fofana,,Ol,LM,78,86,69,70,82,40,48
1242,Mika Biereth,,As Monaco,ST,78,75,78,63,72,31,76
1247,Lucas Beraldo,,Paris SG,CB,78,66,38,66,68,79,75
1266,Dante,,Ogc Nice,CB,78,32,52,69,65,80,75
1282,Timothy Weah,,Om,RM,77,87,75,72,78,68,65
1283,Seko Fofana,,Stade Rennais Fc,CM,77,68,75,74,76,71,80
1290,Hicham Boudaoui,,Ogc Nice,CM,77,73,67,74,77,74,76
1295,Lamine Camara,,As Monaco,CM,77,79,66,78,77,71,69
1303,Clinton Mata,,Ol,CB,77,79,61,68,74,77,78
1305,Ainsley Maitland-Niles,,Ol,RB,77,77,65,73,76,72,74
1308,Diego Moreira,,Strasbourg,LM,77,90,67,69,79,64,68
1319,Vanderson,,As Monaco,RB,77,78,62,74,77,72,71
1343,Breel Embolo,,Stade Rennais Fc,ST,77,78,75,70,75,51,80
1355,Caio Henrique,,As Monaco,LB,77,78,58,77,77,72,66
1369,Ben Chilwell,,Strasbourg,LB,77,70,60,77,75,76,68
1370,Ludovic Blas,,Stade Rennais Fc,RM,77,72,77,76,79,58,64
1397,Tiago Santos,,Losc Lille,RB,77,83,56,71,77,71,65
1398,Emerson,,Om,LB,77,69,63,75,76,74,65
1399,Nabil Bentaleb,,Losc Lille,CDM,77,50,72,77,79,71,73
1403,Orel Mangala,,Ol,CDM,77,68,58,72,79,72,73
1411,Adrien Thomasson,,Rc Lens,CM,77,58,73,76,77,65,72
1417,Philipp Köhn,,As Monaco,GK,77,78,74,69,78,46,75
1422,Berke Özer,,Losc Lille,GK,77,77,73,70,79,44,76
1423,Charles Vanhoutte,,Ogc Nice,CDM,77,55,65,76,72,73,78
1427,Hamed Junior Traoré,,Om,LM,77,78,70,72,80,57,61
1447,Arthur Vermeeren,,Om,CM,77,70,55,77,79,68,66
1448,Youssouf Ndayishimiye,,Ogc Nice,CB,77,68,49,68,72,77,80
1455,Guéla Doué,,Strasbourg,RB,77,72,47,70,72,74,78
1467,Moses Simon,,Paris Fc,LM,77,89,71,70,82,36,62
1474,Radosław Majecki,,Stade Brestois 29,GK,77,77,75,71,78,31,76
1509,Moussa Niakhaté,,Ol,CB,77,68,48,63,64,77,80
1512,Ludovic Ajorque,,Stade Brestois 29,ST,77,63,76,62,68,46,84
1515,Pavel Šulc,,Ol,CAM,77,71,73,74,77,39,64
1540,Folarin Balogun,,As Monaco,ST,77,84,77,62,77,23,68
1555,Jonathan Gradit,,Rc Lens,CB,77,66,29,63,69,77,79
1569,Brendan Chardonnet,,Stade Brestois 29,CB,77,46,46,54,60,79,76
1579,Deiver Machado,,Rc Lens,LB,76,84,69,71,76,71,76
1598,Thomas Meunier,,Losc Lille,RB,76,63,74,72,71,75,81
1603,Ali Abdi,,Ogc Nice,LB,76,86,62,70,73,69,75
1607,Anthony Lopes,,Fc Nantes,GK,76,78,72,65,79,65,75
1609,Hans Hateboer,,Stade Rennais Fc,CB,76,76,63,71,75,75,74
1617,Morgan Sanson,,Ogc Nice,CM,76,62,73,77,76,70,74
1621,Angel Gomes,,Om,CAM,76,69,70,75,79,72,67
1631,Kenny Lala,,Stade Brestois 29,RB,76,75,62,73,72,73,74
,,,,,,,,,,,
RANK,PLAYER,NAT,,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
1633,Donovan Léon,,Aj Auxerre,GK,76,76,71,81,79,47,75
1640,Amir Murillo,,Om,RB,76,84,57,70,71,70,76
1686,Quentin Merlin,,Stade Rennais Fc,LB,76,74,59,75,76,73,64
1703,Himad Abdelli,,Angers Sco,CAM,76,61,69,76,79,60,74
1714,Florian Thauvin,,Rc Lens,ST,76,71,77,79,80,45,65
1718,Jordan Teze,,As Monaco,RB,76,77,49,69,69,76,77
1730,Moïse Bombito,,Ogc Nice,CB,76,93,49,58,65,75,76
1738,Romain Del Castillo,,Stade Brestois 29,RW,76,82,72,76,79,41,64
1744,Félix Lemaréchal,,Strasbourg,CAM,76,63,70,74,77,62,68
1754,Ruben Aguilar,,Rc Lens,RB,76,67,53,70,74,73,75
1766,Jérémie Boga,,Ogc Nice,LW,76,85,69,72,81,39,64
1774,Maxime Lopez,,Paris Fc,CM,76,64,69,77,79,65,54
1777,Sofiane Diop,,Ogc Nice,LW,76,77,69,75,80,54,53
1780,Matthis Abline,,Fc Nantes,ST,76,87,76,67,81,33,64
1814,Gauthier Hein,,Fc Metz,CAM,76,77,75,74,79,36,57
1827,Jonathan Ikoné,,Paris Fc,RM,76,85,67,72,80,35,56
1829,Osame Sahraoui,,Losc Lille,LM,76,83,63,68,82,45,54
1854,Lilian Brassier,,Stade Rennais Fc,CB,76,67,37,63,69,76,76
1859,Ismaël Doukouré,,Strasbourg,CB,76,64,42,63,65,76,76
1863,Sebastian Nanasi,,Strasbourg,CAM,76,70,65,74,80,32,64
1877,Hugo Magnetti,,Stade Brestois 29,CDM,76,44,50,68,75,70,75
1878,Mohamed-Ali Cho,,Ogc Nice,LW,76,80,70,69,78,26,59
1899,Rasmus Nicolaisen,,Toulouse Fc,CB,76,49,41,57,60,76,80
1902,Anthony Rouault,,Stade Rennais Fc,CB,76,59,30,61,61,77,74
1905,Mamadou Sarr,,Strasbourg,CB,76,66,30,56,57,77,73
1910,Mohammed Salisu,,As Monaco,CB,76,59,36,50,54,77,80
1923,Przemysław Frankowski,,Stade Rennais Fc,RB,75,87,71,74,75,69,71
2010,Aron Dønnum,,Toulouse Fc,RM,75,82,67,69,77,52,75
2016,Francis Coquelin,,Fc Nantes,CM,75,58,65,75,73,76,74
2051,Ayyoub Bouaddi,,Losc Lille,CM,75,75,58,72,75,67,71
2083,Florian Sotoca,,Rc Lens,ST,75,64,74,75,71,50,79
2108,Tanner Tessmann,,Ol,CDM,75,57,63,71,71,71,78
2121,Ulisses Garcia,,Om,LB,75,79,49,66,71,70,74
2134,Saud Abdulhamid,,Rc Lens,RB,75,86,46,66,71,69,70
2137,Valentín Barco,,Strasbourg,LB,75,76,50,75,78,68,61
2142,Amine Harit,,Om,CAM,75,75,64,73,79,59,57
2150,Senny Mayulu,,Paris SG,CM,75,75,68,73,78,57,55
2156,Musa Al Tamari,,Stade Rennais Fc,RM,75,89,69,67,80,38,63
2181,Félix Correia,,Losc Lille,LM,75,84,69,68,76,42,64
2203,André Gomes,,Losc Lille,CDM,75,41,66,75,73,70,74
2204,Neal Maupay,,Om,ST,75,67,76,68,75,42,71
2220,Bradley Locko,,Stade Brestois 29,LB,75,73,50,63,71,74,67
2223,Matias Fernandez-Pardo,,Losc Lille,LM,75,87,71,68,76,39,57
2225,Laurent Abergel,,Fc Lorient,CDM,75,60,50,69,72,71,75
2240,Yann Gboho,,Toulouse Fc,CAM,75,79,69,70,79,36,63
2268,Aïssa Mandi,,Losc Lille,CB,75,57,46,71,67,75,73
2269,Abdoulaye Touré,,Havre Ac,CDM,75,42,64,66,65,72,80
2273,CJ Egan-Riley,,Om,CB,75,76,32,61,67,75,78
2287,Ansu Fati,,As Monaco,LM,75,81,72,72,78,30,53
2298,Otávio,,Paris Fc,CB,75,73,42,53,62,75,79
2311,Terem Moffi,,Ogc Nice,ST,75,82,75,54,71,26,73
2312,Ernest Nuamah,,Ol,RM,75,82,70,69,78,24,58
2318,Christian Mawissa,,As Monaco,CB,75,79,31,57,64,75,74
2341,Ilan Kebbal,,Paris Fc,CAM,75,76,70,72,80,24,52
2345,Jérémy Jacquet,,Stade Rennais Fc,CB,75,64,38,57,61,75,76
2387,Romain Perraud,,Losc Lille,LB,74,72,75,76,75,68,71
2428,Cristian Cásseres Jr,,Toulouse Fc,CDM,74,77,64,68,72,74,74
2451,Krépin Diatta,,As Monaco,RM,74,88,69,67,76,57,67
2462,Glen Kamara,,Stade Rennais Fc,CDM,74,75,58,68,77,69,75
2511,Abner Vinícius,,Ol,LB,74,79,58,72,74,68,65
2518,Johann Lepenant,,Fc Nantes,CM,74,66,60,71,74,72,72
2525,Tanguy Ndombele,,Ogc Nice,CM,74,56,68,76,81,66,67
2540,Abdallah Sima,,Rc Lens,LM,74,87,74,66,73,41,72
2549,Maxime Dupé,,Ogc Nice,GK,74,76,73,72,74,46,71
2585,Joris Chotard,,Stade Brestois 29,CDM,74,64,57,73,75,69,72
2619,Matthieu Udol,,Rc Lens,CB,74,70,52,65,72,74,74
2630,Ngal'ayel Mukau,,Losc Lille,CDM,74,69,57,65,71,70,75
2647,Gideon Mensah,,Aj Auxerre,LB,74,76,57,65,72,68,67
2648,Lassine Sinayoko,,Aj Auxerre,ST,74,75,73,68,73,43,73
2668,Djibril Sidibé,,Toulouse Fc,CB,74,63,55,69,67,76,73
2719,Lucas Tousart,,Stade Brestois 29,CDM,74,60,55,63,68,74,79
2726,Kévin Danois,,Aj Auxerre,CM,74,59,62,71,75,68,64
2750,Kamory Doumbia,,Stade Brestois 29,CAM,74,68,68,70,77,57,56
2798,Estéban Lepaul,,Stade Rennais Fc,ST,74,75,75,60,73,36,68
2814,Clément Akpa,,Aj Auxerre,CB,74,70,42,61,67,74,72
2836,Wesley Saïd,,Rc Lens,ST,74,73,75,67,78,30,58
2838,Mark McKenzie,,Toulouse Fc,CB,74,80,36,50,64,73,78
2840,Joaquín Panichelli,,Strasbourg,ST,74,68,75,62,70,27,79
2850,Julien Le Cardinal,,Stade Brestois 29,CB,74,71,31,63,65,74,76
2863,Haris Belkebla,,Angers Sco,CDM,74,46,49,71,70,68,74
2876,Alidu Seidu,,Stade Rennais Fc,CB,74,61,43,61,70,75,67
2884,Martín Satriano,,Ol,ST,74,63,74,62,72,34,69
2885,Mohamed Abdelmonem,,Ogc Nice,CB,74,62,40,63,61,74,74
2910,Jean-Philippe Krasso,,Paris Fc,ST,74,65,73,64,72,21,70
2942,Charlie Cresswell,,Toulouse Fc,CB,74,54,30,51,57,74,75
2946,Gautier Lloris,,Havre Ac,CB,74,37,36,54,55,75,78
3004,Hong Hyeon Seok,,Fc Nantes,CAM,73,72,70,72,76,66,65
3012,Mama Baldé,,Stade Brestois 29,ST,73,88,71,65,72,49,75
3025,Rubén Blanco,,Om,GK,73,76,72,73,74,53,70
3028,Jeffrey de Lange,,Om,GK,73,73,69,74,73,56,73
3066,Arnaud Bodart,,Losc Lille,GK,73,76,70,68,73,55,73
3101,Hervé Koffi,,Angers Sco,GK,73,75,69,68,76,56,67
3119,Djaoui Cissé,,Stade Rennais Fc,CM,73,63,69,68,75,67,67
3169,Pol Lirola,,Om,RB,73,72,61,69,69,69,66
3179,Gauthier Gallon,,Stade Rennais Fc,GK,73,74,71,72,75,40,73
3211,Kelvin Amian,,Fc Nantes,RB,73,77,48,61,66,72,78
3239,Mathieu Cafaro,,Paris Fc,LM,73,74,68,70,75,47,65
3240,Rémy Descamps,,Ol,GK,73,74,68,65,76,43,73
3319,Hamza Igamane,,Losc Lille,ST,73,80,72,63,74,34,70
3326,Morgan Guilavogui,,Rc Lens,ST,73,74,71,66,71,39,72
,,,,,,,,,,,
RANK,PLAYER,NAT,,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
3328,Tiago Gouveia,,Ogc Nice,RM,73,83,68,67,75,44,56
3360,Mike Penders,,Strasbourg,GK,73,77,72,76,75,22,69
3385,Yassine Kechta,,Havre Ac,CM,73,57,59,72,74,64,63
3396,Kendry Páez,,Strasbourg,CAM,73,79,68,69,75,43,54
3402,Elisha Owusu,,Aj Auxerre,CDM,73,55,54,68,70,70,70
3404,Salis Abdul Samed,,Ogc Nice,CDM,73,58,49,63,69,71,77
3405,Obed Nkambadio,,Paris Fc,GK,73,73,70,67,76,30,71
3428,Mostafa Mohamed,,Fc Nantes,ST,73,70,74,58,67,37,78
3440,Nicolas Cozza,,Fc Nantes,LB,73,69,41,61,69,74,68
3446,Benjamin Stambouli,,Fc Metz,CDM,73,46,58,66,70,71,70
3460,Sinaly Diomandé,,Aj Auxerre,CB,73,62,50,61,58,73,75
3469,Danny Namaso,,Aj Auxerre,ST,73,79,71,61,76,23,68
3471,Julio César Enciso,,Strasbourg,CAM,73,74,72,70,78,33,51
3492,Youssef El Arabi,,Fc Nantes,ST,73,59,76,65,72,37,64
3517,Jordan Lefort,,Angers Sco,CB,73,64,26,65,65,73,76
3518,Malang Sarr,,Rc Lens,CB,73,52,45,65,64,73,70
3557,Arouna Sangante,,Havre Ac,CB,73,54,34,59,59,73,75
3564,Andrew Omobamidele,,Strasbourg,CB,73,69,27,52,56,73,75
3585,Bamo Meïté,,Fc Lorient,CB,73,51,33,47,57,75,72
3586,Montassar Talbi,,Fc Lorient,CB,73,56,30,42,57,73,76
3606,Junior Dina Ebimbe,,Stade Brestois 29,RM,72,79,64,69,73,69,74
3613,Mamadou Sangaré,,Rc Lens,CM,72,82,64,68,74,68,69
3667,Jessy Deminguet,,Fc Metz,CM,72,70,63,72,74,64,73
3672,Jhoanner Chávez,,Rc Lens,LB,72,85,60,66,72,66,67
3729,Loïc Négo,,Havre Ac,RB,72,75,64,68,69,67,66
3782,Mathis Amougou,,Strasbourg,CM,72,71,57,68,74,67,68
3792,Reda Khadra,,Havre Ac,CAM,72,85,66,67,76,48,63
3809,Warren Kamanzi,,Toulouse Fc,RB,72,81,52,65,71,68,67
3850,Niklas Schmidt,,Toulouse Fc,CM,72,55,70,74,74,60,68
3854,Tyler Morton,,Ol,CDM,72,64,59,74,73,66,65
3965,Darlin Yongwa,,Fc Lorient,LB,72,85,40,61,69,67,71
3973,Florent Hanin,,Angers Sco,LB,72,73,44,66,68,69,72
4000,Thibault De Smet,,Paris Fc,LB,72,66,52,64,68,68,72
4026,Kassoum Ouattara,,As Monaco,LB,72,77,44,65,69,66,68
4041,Odsonne Edouard,,Rc Lens,ST,72,66,73,65,71,45,67
4046,Jim Allevinah,,Angers Sco,RM,72,82,69,66,73,47,50
4057,Soumaila Coulibaly,,Strasbourg,CB,72,85,36,54,65,69,77
4058,Junior Mwanga,,Fc Nantes,CDM,72,63,50,62,68,71,72
4060,Ally Samatta,,Havre Ac,ST,72,75,70,62,68,37,73
4141,Willem Geubbels,,Paris Fc,ST,72,79,72,60,72,27,67
4143,Cheikh Sabaly,,Fc Metz,ST,72,86,72,66,76,25,52
4150,Ibrahim Osman,,Aj Auxerre,LM,72,90,64,62,76,28,57
4185,Kevin Carlos,,Ogc Nice,ST,72,66,73,52,71,27,83
4214,Abakar Sylla,,Strasbourg,CB,72,67,30,56,68,71,77
4215,Rémy Labeau Lascary,,Stade Brestois 29,ST,72,76,71,63,71,28,60
4228,Habib Diallo,,Fc Metz,ST,72,71,71,59,68,22,75
4231,Giorgi Tsitaishvili,,Fc Metz,RM,72,86,61,64,75,33,47
4238,Frank Magri,,Toulouse Fc,ST,72,77,72,59,73,21,63
4239,George Ilenikhena,,As Monaco,ST,72,79,71,56,71,26,62
4248,Issa Soumaré,,Havre Ac,LM,72,83,65,63,74,20,58
4264,Moustapha Mbow,,Paris Fc,CB,72,62,36,52,60,72,76
4320,Abdulai Juma Bah,,Ogc Nice,CB,72,66,25,53,53,73,75
4343,Étienne Youté Kinkoué,,Havre Ac,CB,72,55,31,50,47,70,80
