RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
2728,Guridi,,D Alaves,CAM,74,60,69,72,76,65,56
2732,Roberto,,Rcd Espanyol,ST,74,73,73,62,73,41,76
2766,Denis Suárez,,D Alaves,CM,74,55,70,77,75,63,52
2774,Bigas,,Elche Cf,CB,74,57,52,64,65,74,79
2797,Pablo Durán,,Celta,ST,74,72,74,64,74,36,68
2802,Robert Navarro,,Athletic Club,RM,74,74,69,70,77,34,63
2810,Pablo Torre,,Rcd Mallorca,CAM,74,72,64,76,76,45,53
,,,,,,,,,,,
RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
2815,Isaac,,Sevilla Fc,ST,74,78,72,68,73,23,71
2819,Juan Iglesias,,Getafe Cf,RB,74,79,39,61,66,71,69
2820,Orri Óskarsson,,Real Sociedad,ST,74,74,73,63,70,31,74
2831,Juanmi,,Getafe Cf,ST,74,74,73,69,75,31,60
2837,Elgezabal,,Levante Ud,CB,74,58,50,58,62,76,77
2856,Juan Cruz,,Ca Osasuna,LB,74,69,40,62,64,73,71
2862,Ilias Akhomach,,Villarreal Cf,RM,74,78,72,68,76,28,57
2872,Adnan Januzaj,,Sevilla Fc,RW,74,70,69,76,78,30,54
2877,Kike Barja,,Ca Osasuna,RM,74,74,66,69,74,35,58
2880,Antonio Blanco,,D Alaves,CDM,74,46,59,72,67,70,62
2883,Eric Bailly,,R Oviedo,CB,74,64,42,59,66,74,70
2886,Toni Martínez,,D Alaves,ST,74,67,74,60,70,24,78
2889,Santiago Mouriño,,Villarreal Cf,CB,74,67,36,56,64,73,77
2895,Salomón Rondón,,R Oviedo,ST,74,51,75,66,70,33,75
2912,Duje Ćaleta-Car,,Real Sociedad,CB,74,58,39,55,59,74,76
2930,Herrando,,Ca Osasuna,CB,74,49,37,57,67,76,66
2933,Carlos Domínguez,,Celta,CB,74,63,28,56,56,74,72
2941,Abdelkabir Abqar,,Getafe Cf,CB,74,49,31,54,63,76,69
2944,Domingos Duarte,,Getafe Cf,CB,74,42,36,57,52,75,74
2949,Pacheco,,D Alaves,CB,74,48,22,52,51,75,68
2963,Santiago Colombatto,,R Oviedo,CDM,73,71,70,73,71,69,78
2987,Antonio Sánchez,,Rcd Mallorca,RM,73,72,66,73,73,65,75
3009,Juan Carlos,,Girona Fc,GK,73,72,73,72,73,59,71
3034,Pubill,,Atletico De Madrid,RB,73,79,55,66,71,69,78
3037,Hugo Rincón,,Girona Fc,RB,73,81,62,66,70,67,72
3052,Gorrotxa,,Real Sociedad,CDM,73,72,59,66,69,71,79
3057,Pablo Martínez,,Levante Ud,LM,73,71,69,71,72,62,71
3086,Alberto Reina,,R Oviedo,CM,73,66,69,71,73,66,68
3097,Damián,,Celta,CM,73,71,60,70,71,70,70
3102,Mihailo Ristić,,Celta,LB,73,73,64,66,72,68,68
3106,Hugo Sotelo,,Celta,CM,73,69,66,70,72,67,67
3113,Adama Boiro,,Athletic Club,LB,73,75,58,65,69,70,73
3153,Lucas Boyé,,D Alaves,ST,73,69,73,64,72,49,80
3173,Oriol Rey,,Levante Ud,CM,73,57,61,72,72,70,74
3181,Turrientes,,Real Sociedad,CM,73,65,62,72,72,68,66
3206,Adrián,,Real Betis,GK,73,68,76,72,68,43,75
3212,Toni Lato,,Rcd Mallorca,LB,73,76,56,70,71,68,61
3219,Pablo Marín,,Real Sociedad,CM,73,67,68,71,73,64,59
3242,Nacho Vidal,,R Oviedo,RB,73,73,57,68,67,69,65
3244,Abel Ruiz,,Girona Fc,ST,73,74,72,69,74,39,71
3269,Aleñá,,D Alaves,RM,73,66,69,71,74,58,59
3280,Gumbau,,Rayo Vallecano,CM,73,44,67,75,69,73,68
3305,Iván Villar,,Celta,GK,73,72,71,71,76,32,72
3323,Carlos Protesoni,,D Alaves,CDM,73,65,49,66,69,73,71
3330,Marc Bernal,,Fc Barcelona,CDM,73,61,53,71,74,70,63
3340,Javi López,,R Oviedo,LB,73,72,45,66,69,71,69
3344,Kervin Arriaga,,Levante Ud,CDM,73,61,49,63,62,74,83
3356,Mateu Morey,,Rcd Mallorca,RB,73,75,46,67,75,68,60
3364,Jeremy Toljan,,Levante Ud,RB,73,82,42,66,70,66,64
3384,Antoniu Roca,,Rcd Espanyol,RM,73,80,63,69,75,41,61
3436,Unai Gómez,,Athletic Club,CAM,73,67,66,72,74,39,65
3445,Maroan Sannadi,,Athletic Club,ST,73,69,71,59,68,33,81
3448,Sergio Camello,,Rayo Vallecano,ST,73,70,73,68,74,33,63
3461,Akor Jerome Adams,,Sevilla Fc,ST,73,77,72,56,70,29,75
3477,Peque,,Sevilla Fc,CAM,73,77,71,69,74,35,51
3480,Goduine Koyalipou,,Levante Ud,ST,73,75,72,60,70,31,68
3490,Álex Sancris,,Getafe Cf,RM,73,79,68,70,70,29,58
3501,Calero,,Rcd Espanyol,CB,73,60,42,65,65,73,67
3521,Abdón Prats,,Rcd Mallorca,ST,73,65,75,61,73,29,65
3535,Raúl García,,Ca Osasuna,ST,73,66,74,61,70,25,68
3548,Dani Calvo,,R Oviedo,CB,73,51,46,53,55,73,80
3560,Facundo Garcés,,D Alaves,CB,73,52,37,53,61,73,77
3632,Federico Redondo,,Elche Cf,CM,72,72,61,69,72,69,77
3685,Aleix Febas,,Elche Cf,CM,72,74,61,72,74,64,70
3806,Dela,,Levante Ud,CB,72,72,60,63,63,73,73
3826,Salinas,,Rcd Espanyol,LB,72,77,56,65,69,69,67
3831,Altimira,,Villarreal Cf,RB,72,73,57,67,73,67,66
3858,Josan,,Elche Cf,RM,72,80,67,66,74,67,46
3886,Rafa Mir,,Elche Cf,ST,72,73,72,65,67,45,76
3915,Álvaro Núñez,,Elche Cf,RB,72,75,44,68,70,67,73
