RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
849,Aleksandar Pavlović,,FC Bayern Munchen,CDM,79,62,64,79,78,76,71
858,Kaishū Sano,,1. FSV Mainz 05,CDM,79,79,51,67,76,78,75
891,Martin Terrier,,Leverkusen,ST,79,78,79,75,80,36,71
898,Maximilian Beier,,Borussia Dortmund,ST,79,86,79,68,80,43,62
921,Fábio Silva,,Borussia Dortmund,ST,79,81,77,64,79,32,79
963,Philipp Lienhart,,SC Freiburg,CB,79,67,28,59,64,81,78
978,Ridle Baku,,RB Leipzig,RM,78,81,72,73,81,71,75
980,Cameron Puertas,,SV Werder Bremen,CAM,78,74,75,79,79,69,76
991,Hugo Larsson,,Frankfurt,CM,78,77,73,71,78,71,77
1008,Jens Stage,,SV Werder Bremen,CM,78,63,73,74,77,75,79
1013,Mitchell Weiser,,SV Werder Bremen,RB,78,78,63,74,82,71,72
1037,Lovro Majer,,VfL Wolfsburg,CM,78,70,73,80,83,60,70
1069,Robin Zentner,,1. FSV Mainz 05,GK,78,81,74,59,83,62,72
1075,Jonas Hofmann,,Leverkusen,CAM,78,64,76,78,79,64,68
1083,Joakim Mæhle,,VfL Wolfsburg,LB,78,75,57,71,75,74,76
1092,Hiroki Ito,,FC Bayern Munchen,CB,78,74,57,71,72,80,72
1109,Mark Flekken,,Leverkusen,GK,78,79,76,80,80,32,76
1110,Anthony Caci,,1. FSV Mainz 05,RB,78,72,56,72,72,75,76
1123,Lukas Klostermann,,RB Leipzig,CB,78,82,50,64,70,80,75
1135,Romano Schmid,,SV Werder Bremen,CAM,78,77,67,78,83,56,58
1159,Nathan Tella,,Leverkusen,RM,78,83,75,71,80,46,60
1190,Fábio Vieira,,Hamburger SV,CAM,78,71,73,78,78,56,53
1200,Denis Vavro,,VfL Wolfsburg,CB,78,69,60,58,57,80,83
1210,Paul Nebel,,1. FSV Mainz 05,CAM,78,71,75,72,82,45,60
1213,Josip Stanišić,,FC Bayern Munchen,CB,78,73,44,65,69,79,74
1216,Johan Bakayoko,,RB Leipzig,RW,78,85,72,70,81,33,63
1234,Jonas Wind,,VfL Wolfsburg,ST,78,57,79,72,77,37,77
1250,Danilho Doekhi,,Union Berlin,CB,78,63,42,59,65,78,83
1260,Loïc Badé,,Leverkusen,CB,78,61,45,56,66,78,78
1263,Diogo Leite,,Union Berlin,CB,78,64,38,52,63,80,78
1272,Julian Chabot,,VfB Stuttgart,CB,78,47,29,48,56,78,85
1298,Christian Günter,,SC Freiburg,LB,77,83,60,69,71,73,82
1300,Alessio Castro-Montes,,1. FC Koln,RM,77,74,72,74,75,71,72
1302,Rocco Reitz,,M'gladbach,CM,77,71,70,74,78,77,68
1307,Alexis Claude-Maurice,,FC Augsburg,CAM,77,75,74,73,81,68,66
,,,,,,,,,,,
RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
1314,Finn Dahmen,,FC Augsburg,GK,77,76,70,81,80,52,76
1326,Nicolas Seiwald,,RB Leipzig,CDM,77,72,62,74,74,74,76
1327,Noah Atubolu,,SC Freiburg,GK,77,76,73,75,79,55,74
1335,Amadou Haidara,,RB Leipzig,CM,77,63,70,77,79,73,69
1337,Daniel Svensson,,Borussia Dortmund,LB,77,77,56,75,76,73,74
1341,Marvin Schwäbe,,1. FC Koln,GK,77,77,74,75,82,47,75
1349,Yan Couto,,Borussia Dortmund,RB,77,78,61,77,83,69,61
1358,Patrick Wimmer,,VfL Wolfsburg,CAM,77,84,69,72,81,49,73
1374,Lee Jae Sung,,1. FSV Mainz 05,CAM,77,72,71,72,81,63,66
1378,Ansgar Knauff,,Frankfurt,RM,77,89,71,69,76,56,64
1389,Dominik Kohr,,1. FSV Mainz 05,CB,77,74,63,60,69,77,80
1418,Andreas Skov Olsen,,VfL Wolfsburg,RW,77,83,78,73,78,39,69
1419,Sacha Boey,,FC Bayern Munchen,RB,77,71,55,66,75,76,77
1436,Chris Führich,,VfB Stuttgart,LM,77,84,69,71,83,51,58
1445,Adam Hložek,,TSG Hoffenheim,ST,77,78,78,72,77,31,79
1458,Kevin Kampl,,RB Leipzig,CM,77,66,66,79,81,64,56
1463,Timo Werner,,RB Leipzig,LW,77,91,74,68,77,35,66
1464,Benedict Hollerbach,,1. FSV Mainz 05,ST,77,85,76,66,79,28,77
1465,Jeffrey Gouweleeuw,,FC Augsburg,CB,77,67,58,66,64,79,76
1476,Marco Friedl,,SV Werder Bremen,CB,77,75,44,64,69,79,77
1480,Christoph Baumgartner,,RB Leipzig,CAM,77,74,72,72,79,47,63
1488,Nathaniel Brown,,Frankfurt,LB,77,83,53,71,77,71,51
1495,Nikola Vasilj,,FC St. Pauli,GK,77,77,72,65,79,34,77
1505,Michy Batshuayi,,Frankfurt,ST,77,74,78,64,75,36,74
1513,Robin Hack,,M'gladbach,LM,77,78,76,71,80,33,61
1538,Nico Elvedi,,M'gladbach,CB,77,70,39,63,65,78,76
1544,Konstantinos Koulierakis,,VfL Wolfsburg,CB,77,69,44,56,64,77,79
1566,Chrislain Matsima,,FC Augsburg,CB,77,75,34,52,57,77,78
1619,Mattias Svanberg,,VfL Wolfsburg,CM,76,73,70,74,76,66,73
1664,Jan-Niklas Beste,,SC Freiburg,LM,76,78,70,78,76,60,63
1670,Jonas Omlin,,M'gladbach,GK,76,77,76,68,78,52,73
1676,Marius Bülter,,1. FC Koln,ST,76,80,77,69,73,48,76
1679,Kristijan Jakić,,FC Augsburg,CDM,76,72,62,65,68,76,80
1687,Senne Lynen,,SV Werder Bremen,CDM,76,68,62,72,67,74,78
1700,Michael Zetterer,,Frankfurt,GK,76,76,71,81,77,41,73
1701,Maarten Vandevoordt,,RB Leipzig,GK,76,78,75,75,77,40,74
1716,Phillipp Mwene,,1. FSV Mainz 05,LB,76,78,55,69,75,70,70
1717,Dimitris Giannoulis,,FC Augsburg,LB,76,83,55,69,73,70,67
1724,Carney Chukwuemeka,,Borussia Dortmund,CAM,76,74,66,74,79,57,66
1741,Tiago Tomás,,VfB Stuttgart,LW,76,86,74,67,79,39,69
1742,Antonio Nusa,,RB Leipzig,LM,76,89,72,68,81,41,63
1743,Vinicius Souza,,VfL Wolfsburg,CDM,76,65,58,65,68,76,82
1758,Lorenz Assignon,,VfB Stuttgart,RB,76,76,53,64,73,73,73
1772,Kevin Stöger,,M'gladbach,CAM,76,55,71,81,77,64,61
1773,Rômulo,,RB Leipzig,ST,76,82,75,63,75,35,78
1800,Tom Bischof,,FC Bayern Munchen,CM,76,58,67,79,79,60,60
1804,Eric Martel,,1. FC Koln,CDM,76,61,51,63,71,75,80
1840,Bilal El Khannouss,,VfB Stuttgart,CAM,76,76,64,76,82,38,56
1841,Koki Machida,,TSG Hoffenheim,CB,76,78,40,60,56,75,82
1842,Eliesse Ben Seghir,,Leverkusen,LM,76,77,73,72,79,28,62
1866,Cédric Zesiger,,FC Augsburg,CB,76,66,43,56,61,74,84
1900,Atakan Karazor,,VfB Stuttgart,CDM,76,45,36,63,68,77,74
1912,Moritz Jenz,,VfL Wolfsburg,CB,76,62,29,50,56,77,81
1913,Keven Schlotterbeck,,FC Augsburg,CB,76,63,30,53,54,79,73
1914,Patrick Mainka,,Heidenheim,CB,76,46,40,51,53,78,81
1916,Dan-Axel Zagadou,,VfB Stuttgart,CB,76,46,34,60,51,77,79
1927,Derrick Köhn,,Union Berlin,LB,75,87,69,71,77,68,71
1938,Marius Wolf,,FC Augsburg,RB,75,74,71,71,73,70,77
1942,Mathias Pereira Lage,,FC St. Pauli,LW,75,86,72,74,74,63,66
1963,Miro Muheim,,Hamburger SV,LB,75,73,66,73,73,71,73
1964,Josip Juranović,,Union Berlin,RB,75,79,64,75,74,71,66
1966,Jackson Irvine,,FC St. Pauli,CM,75,67,68,71,70,72,80
1967,Yannick Gerhardt,,VfL Wolfsburg,CM,75,65,70,73,75,70,75
1969,Grischa Prömel,,TSG Hoffenheim,CM,75,62,72,70,73,74,77
1974,Christopher Trimmel,,Union Berlin,RB,75,67,65,74,68,74,79
1986,Florian Neuhaus,,M'gladbach,CM,75,72,71,75,76,65,67
1996,Tom Krauß,,1. FC Koln,CDM,75,71,65,65,72,73,79
2001,Salih Özcan,,Borussia Dortmund,CDM,75,70,59,68,73,75,79
2007,Danny da Costa,,1. FSV Mainz 05,CB,75,80,56,64,69,75,78
2012,Felix Agu,,SV Werder Bremen,LB,75,91,56,64,75,71,65
2013,Philipp Sander,,M'gladbach,CDM,75,68,64,74,75,73,68
2037,Patrick Osterhage,,SC Freiburg,CDM,75,78,57,66,69,74,75
2053,Shuto Machino,,M'gladbach,ST,75,83,75,68,76,39,76
2069,Jamie Leweling,,VfB Stuttgart,RM,75,83,71,65,78,46,72
2072,Ron-Robert Zieler,,1. FC Koln,GK,75,73,71,70,75,48,77
2085,Alexander Meyer,,Borussia Dortmund,GK,75,72,71,79,76,41,74
2102,Eric Smith,,FC St. Pauli,CDM,75,67,59,67,66,73,79
2104,Maximilian Eggestein,,SC Freiburg,CDM,75,60,62,69,71,72,77
2120,Niklas Stark,,SV Werder Bremen,CB,75,79,50,62,66,74,78
2126,Jean-Mattéo Bahoya,,Frankfurt,LM,75,94,67,67,76,46,59
2128,Lukas Kübler,,SC Freiburg,RB,75,77,54,61,67,73,76
2143,Albert Sambi Lokonga,,Hamburger SV,CM,75,60,59,74,76,68,70
2171,Bernardo,,TSG Hoffenheim,CB,75,69,53,63,68,75,76
2174,Ezequiel Fernández,,Leverkusen,CDM,75,70,47,67,72,70,78
2182,Marco Grüll,,SV Werder Bremen,LM,75,79,75,69,76,36,68
2190,Jesper Lindstrøm,,VfL Wolfsburg,RM,75,82,69,72,76,43,60
2198,Elye Wahi,,Frankfurt,ST,75,84,76,67,77,31,66
2206,Jordan Torunarigha,,Hamburger SV,CB,75,82,39,61,63,73,81
2217,Maximilian Wöber,,SV Werder Bremen,CB,75,64,52,67,64,75,76
2219,Mergim Berisha,,TSG Hoffenheim,ST,75,69,76,72,75,37,69
2227,Moritz Nicolas,,M'gladbach,GK,75,77,76,70,78,21,75
2228,Giovanni Reyna,,M'gladbach,RM,75,67,72,72,80,38,68
2237,Jean-Luc Dompé,,Hamburger SV,LW,75,77,72,73,80,38,56
2249,Marius Müller,,VfL Wolfsburg,GK,75,75,73,62,78,30,76
2255,Ihlas Bebou,,TSG Hoffenheim,ST,75,82,74,68,78,34,57
2302,Andreas Hanche-Olsen,,1. FSV Mainz 05,CB,75,70,38,57,63,75,79
2306,Marvin Pieringer,,Heidenheim,ST,75,65,73,59,70,36,79
2308,Badredine Bouanani,,VfB Stuttgart,RW,75,70,68,75,78,33,58
2309,Rani Khedira,,Union Berlin,CDM,75,57,43,57,62,79,83
2319,Jarell Quansah,,Leverkusen,CB,75,70,34,59,68,74,75
,,,,,,,,,,,
RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
2327,El Chadaille Bitshiabu,,RB Leipzig,CB,75,72,36,60,56,74,79
2335,Ozan Kabak,,TSG Hoffenheim,CB,75,60,37,59,66,74,79
2340,Phillip Tietz,,FC Augsburg,ST,75,59,75,57,68,34,81
2367,Amos Pieper,,SV Werder Bremen,CB,75,66,32,53,55,77,75
2370,Leopold Querfeld,,Union Berlin,CB,75,46,44,58,53,76,78
2383,Robert Skov,,Union Berlin,LB,74,75,77,77,75,67,69
2388,Josha Vagnoman,,VfB Stuttgart,RB,74,87,61,69,72,68,80
2393,Alex Král,,Union Berlin,CM,74,71,66,71,76,73,79
2410,Jobe Bellingham,,Borussia Dortmund,CM,74,70,68,71,74,72,78
2414,Niklas Dorsch,,Heidenheim,CDM,74,70,71,72,77,71,70
2417,Alexander Prass,,TSG Hoffenheim,LB,74,74,65,74,75,69,74
2446,Farès Chaïbi,,Frankfurt,CAM,74,69,68,75,76,68,69
2464,Kevin Diks,,M'gladbach,CB,74,74,59,68,69,73,79
2469,Silas,,VfB Stuttgart,RM,74,90,69,61,79,52,71
2475,Mathias Honsak,,Heidenheim,LM,74,86,70,68,74,54,69
2515,Arne Maier,,FC Augsburg,CM,74,65,62,73,74,68,73
2527,Elvis Rexhbeçaj,,FC Augsburg,CM,74,60,67,71,73,69,74
2538,Yukinari Sugawara,,SV Werder Bremen,RB,74,75,54,73,72,69,70
2539,András Schäfer,,Union Berlin,CM,74,71,62,69,76,65,70
2563,Yussuf Poulsen,,Hamburger SV,ST,74,65,70,67,73,56,80
2579,Kevin Müller,,Heidenheim,GK,74,71,71,69,77,48,74
2603,Lukas Ullrich,,M'gladbach,LB,74,73,56,63,73,73,71
2607,Daniel Heuer Fernandes,,Hamburger SV,GK,74,74,70,75,75,41,73
2609,Joe Scally,,M'gladbach,RB,74,83,49,60,69,71,76
2623,Jan Schöppner,,Heidenheim,CDM,74,65,57,64,64,76,81
2631,Janik Haberer,,Union Berlin,CM,74,61,67,71,74,63,70
2649,Jonas Urbig,,FC Bayern Munchen,GK,74,74,70,79,76,32,74
2659,Jakub Kamiński,,1. FC Koln,LM,74,84,65,67,77,53,58
2680,Kevin Akpoguma,,TSG Hoffenheim,CB,74,76,48,59,70,75,74
2688,Fabian Rieder,,FC Augsburg,CAM,74,74,69,71,75,51,62
2710,Philipp Treu,,SC Freiburg,LB,74,81,45,67,76,65,66
2742,Nnamdi Collins,,Frankfurt,CB,74,86,30,64,68,73,76
2751,Tom Rothe,,Union Berlin,LB,74,61,50,70,68,71,76
2761,Kilian Fischer,,VfL Wolfsburg,RB,74,84,38,64,68,68,72
2763,Eren Dinkçi,,SC Freiburg,CAM,74,86,72,69,75,31,60
2765,Florian Kainz,,1. FC Koln,CAM,74,64,73,75,76,44,60
2772,Conrad Harder,,RB Leipzig,ST,74,75,76,66,71,28,76
2813,Claudio Echeverri,,Leverkusen,CAM,74,84,66,71,80,38,47
2822,Valentin Gendrey,,TSG Hoffenheim,RB,74,75,37,60,67,72,73
2861,Max Rosenfelder,,SC Freiburg,CB,74,82,30,57,67,75,68
2897,Samuel Essende,,FC Augsburg,ST,74,73,72,50,67,26,81
2899,Arthur Chaves,,TSG Hoffenheim,CB,74,78,37,51,52,76,73
2900,Can Uzun,,Frankfurt,CAM,74,62,75,66,77,25,62
2917,Hauke Wahl,,FC St. Pauli,CB,74,54,32,56,64,76,76
2931,Marvin Friedrich,,M'gladbach,CB,74,58,41,54,50,76,72
2947,Stefan Bell,,1. FSV Mainz 05,CB,74,42,38,52,48,77,73
2961,Nicolás Capaldo,,Hamburger SV,CM,73,76,69,69,73,69,77
2982,Wouter Burger,,TSG Hoffenheim,CDM,73,75,63,69,68,69,81
2992,Aurélio Buta,,Frankfurt,RB,73,87,60,68,76,66,66
3005,Adrian Beck,,Heidenheim,CM,73,63,72,71,71,69,75
3016,Robin Fellhauer,,FC Augsburg,CDM,73,80,58,67,70,70,75
3044,Ísak Bergmann Jóhannesson,,1. FC Koln,CM,73,72,64,73,73,63,72
3091,Tim Skarke,,Union Berlin,ST,73,87,74,63,75,47,66
3122,Mahmoud Dahoud,,Frankfurt,CM,73,63,67,72,78,64,65
3123,Oliver Burke,,Union Berlin,ST,73,93,70,64,67,41,74
3129,Omar Haktab Traoré,,Heidenheim,RB,73,84,54,62,69,68,72
3138,Leonardo Bittencourt,,SV Werder Bremen,CAM,73,73,69,71,79,57,59
3210,Manolis Saliakas,,FC St. Pauli,RB,73,69,58,68,72,66,69
3224,Diant Ramaj,,Heidenheim,GK,73,74,70,81,76,28,72
3235,Daniel Peretz,,Hamburger SV,GK,73,74,75,73,77,35,66
3246,Vladimír Coufal,,TSG Hoffenheim,RB,73,58,56,70,70,74,71
3256,Janis Blaswich,,Leverkusen,GK,73,73,68,65,73,43,76
3270,Rogério,,VfL Wolfsburg,LB,73,72,53,68,76,70,58
3281,Karl Hein,,SV Werder Bremen,GK,73,72,71,69,76,35,73
3288,Sven Ulreich,,FC Bayern Munchen,GK,73,74,69,62,76,41,73
3329,Nediljko Labrović,,FC Augsburg,GK,73,73,68,63,76,40,73
3351,Steve Mounié,,FC Augsburg,ST,73,63,72,64,69,44,79
3357,Tim Lemperle,,TSG Hoffenheim,ST,73,75,71,60,73,38,74
3368,Kevin Paredes,,VfL Wolfsburg,LW,73,82,61,66,78,58,45
3371,Ismaël Gharbi,,FC Augsburg,LM,73,78,67,69,79,41,56
3393,Justin Njinmah,,SV Werder Bremen,ST,73,88,74,63,73,30,60
3400,Lucas Höler,,SC Freiburg,ST,73,67,72,55,63,51,79
3434,Dennis Geiger,,TSG Hoffenheim,CDM,73,55,53,75,78,64,58
3439,Arnaud Nordin,,1. FSV Mainz 05,RM,73,76,70,70,74,37,55
3455,Jeong Woo Yeong,,Union Berlin,CAM,73,76,62,68,78,36,60
3459,Linton Maina,,1. FC Koln,LM,73,91,62,66,73,30,57
3473,Ragnar Ache,,1. FC Koln,ST,73,81,70,52,69,29,76
3479,Timo Hübers,,1. FC Koln,CB,73,72,40,56,58,73,77
3493,Nicolas Höfler,,SC Freiburg,CDM,73,51,47,64,66,74,71
3504,Fisnik Asllani,,TSG Hoffenheim,ST,73,65,74,59,72,28,74
3544,Warmed Omari,,Hamburger SV,CB,73,60,34,58,62,73,73
3546,Haris Tabaković,,M'gladbach,ST,73,60,73,52,65,29,80
3555,Dominique Heintz,,1. FC Koln,CB,73,53,37,60,58,73,74
3568,Robert Glatzel,,Hamburger SV,ST,73,56,73,49,66,30,75
3619,Oscar Højlund,,Frankfurt,CM,72,78,64,68,73,71,69
3642,Silvan Widmer,,1. FSV Mainz 05,RB,72,73,62,70,71,70,72
3653,Nicolai Remberg,,Hamburger SV,CM,72,64,59,65,71,74,85
3703,Marnon Busch,,Heidenheim,RB,72,85,53,64,70,66,74
3736,Jan Thielmann,,1. FC Koln,RM,72,81,69,66,72,54,67
3751,Aaron Zehnter,,VfL Wolfsburg,LM,72,74,64,72,70,64,64
3824,Dapo Afolayan,,FC St. Pauli,RW,72,79,71,66,74,44,69
3837,Anthony Jung,,SC Freiburg,CB,72,62,62,65,65,73,75
3842,Denis Huseinbašić,,1. FC Koln,CM,72,67,62,65,73,64,71
3849,Mads Pedersen,,FC Augsburg,LB,72,77,52,65,73,68,66
3859,Florian Müller,,SC Freiburg,GK,72,72,67,71,79,43,68
3884,Leart Paqarada,,Heidenheim,LB,72,69,47,73,72,66,71
3889,Han-Noah Massengo,,FC Augsburg,CDM,72,68,48,66,74,70,72
3927,Luca Netz,,M'gladbach,LB,72,73,48,69,72,68,66
3946,Kosta Nedeljković,,RB Leipzig,RB,72,81,44,65,69,68,67
3956,Stanley Nsoki,,Union Berlin,CB,72,78,38,62,67,72,77
,,,,,,,,,,,
RANK,PLAYER,NAT,TEAM,POS,OVR,PAC,SHO,PAS,DRI,DEF,PHY
,,,,,,,,,,,
3983,Elias Baum,,Frankfurt,RB,72,75,50,61,68,67,71
3990,Nathan Ngoumou,,M'gladbach,RM,72,89,70,64,71,33,64
4035,Daniel Elfadli,,Hamburger SV,CB,72,65,52,59,61,73,78
4048,Jordy Makengo,,SC Freiburg,LB,72,82,36,62,66,69,72
4081,Saël Kumbedi,,VfL Wolfsburg,RB,72,80,42,63,72,67,60
4109,Lennard Maloney,,1. FSV Mainz 05,CDM,72,62,44,56,60,75,84
4129,Luka Vušković,,Hamburger SV,CB,72,58,59,57,58,70,77
4151,Samuel Mbangula,,SV Werder Bremen,LM,72,78,69,66,74,34,55
4157,Rayan Philippe,,Hamburger SV,ST,72,90,69,56,73,22,66
4165,Elias Saad,,FC Augsburg,LW,72,74,67,67,77,31,59
4168,Jonas Meffert,,Hamburger SV,CDM,72,51,48,64,66,70,75
4172,Bence Dárdai,,VfL Wolfsburg,CAM,72,66,62,69,75,44,58
4178,Luca Waldschmidt,,1. FC Koln,CAM,72,68,75,68,74,29,59
4206,Finn Jeltsch,,VfB Stuttgart,CB,72,69,38,56,62,73,72
4211,Julien Duranville,,Borussia Dortmund,RM,72,88,61,63,82,26,49
4230,Budu Zivzivadze,,Heidenheim,ST,72,64,71,58,66,35,72
4245,Andrej Ilić,,Union Berlin,ST,72,71,70,51,65,30,77
4255,Maxim Leitsch,,1. FSV Mainz 05,CB,72,72,37,57,58,74,62
4265,Tim Siersleben,,Heidenheim,CB,72,66,42,49,55,73,73
4276,Ameen Al Dakhil,,VfB Stuttgart,CB,72,68,27,51,62,72,74
